Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
short-sleeve-boy-tee,Boy Tee,"Borrowed from the boys, this tee offers outstanding comfort with an idea amount of stretch. Slightly oversized in fit, but in a good way. Crew neckline. Organic by John Patrick. 90% Cotton, 10% Polyester. Made in Peru. <em>Ashley is wearing an X-Small.</em>",Organic by John Patrick,women's tops,"arrivals, AW15, beige, black, feather, grey, organic, Shot 7/2/15, tan, tops, white, Woman",true,Color,Black,Size,X-Small,,,50952,0.0,shopify,2,deny,manual,88.00,108.00,true,true,50952,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_14_50952_23837.jpg?v=1597676164,1,,false,,,,,,,,,,,,,,,,,lb,,
short-sleeve-boy-tee,,,,,,,,Black,,Small,,,50956,0.0,shopify,2,deny,manual,88.00,108.00,true,true,50956,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_14_50952_23839.jpg?v=1597676164,2,,,,,,,,,,,,,,,,,,,lb,,
short-sleeve-boy-tee,,,,,,,,Black,,Medium,,,50960,0.0,shopify,2,deny,manual,88.00,108.00,true,true,50960,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_14_50952_23843.jpg?v=1597676164,3,,,,,,,,,,,,,,,,,,,lb,,
short-sleeve-boy-tee,,,,,,,,Black,,Large,,,50964,0.0,shopify,2,deny,manual,88.00,108.00,true,true,50964,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_10_50951_23798.jpg?v=1597676164,4,,,,,,,,,,,,,,,,,,,lb,,
short-sleeve-boy-tee,,,,,,,,White,,X-Small,,,50951,0.0,shopify,2,deny,manual,88.00,108.00,true,true,50951,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_10_50951_23797.jpg?v=1597676164,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_10_50951_23797.jpg?v=1597676164,lb,,
short-sleeve-boy-tee,,,,,,,,White,,Small,,,50955,0.0,shopify,2,deny,manual,88.00,108.00,true,true,50955,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_10_50951_23800.jpg?v=1597676164,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_10_50951_23797.jpg?v=1597676164,lb,,
short-sleeve-boy-tee,,,,,,,,White,,Medium,,,50959,0.0,shopify,2,deny,manual,88.00,108.00,true,true,50959,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_09_50941_23794.jpg?v=1597676164,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_10_50951_23797.jpg?v=1597676164,lb,,
short-sleeve-boy-tee,,,,,,,,White,,Large,,,50963,0.0,shopify,2,deny,manual,88.00,108.00,true,true,50963,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_09_50953_23788.jpg?v=1597676164,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_10_50951_23797.jpg?v=1597676164,lb,,
short-sleeve-boy-tee,,,,,,,,Beige,,X-Small,,,50953,0.0,shopify,2,deny,manual,88.00,108.00,true,true,50953,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_09_50953_23793.jpg?v=1597676164,9,,,,,,,,,,,,,,,,,,,lb,,
short-sleeve-boy-tee,,,,,,,,Beige,,Small,,,50957,0.0,shopify,2,deny,manual,88.00,108.00,true,true,50957,https://cdn.shopify.com/s/files/1/0456/3537/1164/products/2015-07-02_Ashley_21_50264_23913_1.jpg?v=1597676164,10,,,,,,,,,,,,,,,,,,,lb,,
